1,social life and customs,biography,6542
2,psychology,nonfiction,16507
3,aesthetics,literature,711
4,pets,fiction,677
5,biography,nonfiction,40673
6,economics,history,1045
7,fantasy,fiction,3516
8,political refugees,psychology,358
9,examinations,literature,215
10,manuscripts,history,632
11,translations into english,poetry,1617
12,online identities,literature,13
13,interpretation,history,77
14,fiction,category,61699
15,feminism and literature,literature,980
16,antisemitism,history,384
17,robbers and outlaws,fiction,245
18,freedmen,biography,118
19,family,biography,4000
20,forest animals,fiction,169
21,maternal love,psychology,28
22,babies,fiction,444
23,behavior disorders in children,psychology,85
24,christian heresies,history,70
25,english literature,literature,5776
26,juvenile literature,juvenile,16020
27,equality,history,259
28,economic conditions,politics,3461
29,rock,biography,35
30,political parties,politics,721
31,literature,fiction,6513
32,african americans in literature,literature,877
33,technological innovations,history,432
34,african americans,biography,5832
35,counterrevolutionaries,politics,19
36,land use,politics,91
37,immigrants,fiction,1078
38,ontology,philosophy,120
39,adult children of aging parents,biography,42
40,history and criticism,history,26813
41,communism,history,629
42,cardinals,biography,57
43,grandmothers,fiction,718
44,international cooperation,politics,424
45,united states,biography,8524
46,personal narratives,biography,2074
47,theory of knowledge,philosophy,483
48,juvenile fiction,fiction,40381
49,koala,fiction,20
50,history,fiction,63643
51,statistical methods,psychology,109
52,postmodernism,philosophy,314
53,dictionaries,biography,1530
54,fairies,fiction,845
55,appreciation,literature,1121
56,christian life,fiction,1416
57,political culture,politics,1343
58,congresses,history,3936
59,death,fiction,2742
60,guitar,fiction,23
61,mathematicians,biography,123
62,ability,fiction,197
63,detective and mystery stories,mystery,3477
64,languages,literature,263
65,philosophy,nonfiction,10833
66,interpersonal communication,psychology,180
67,literacy,history,202
68,french language,juvenile,468
69,magicians,magic,399
70,american literature,literature,5333
71,administration of juvenile justice,juvenile,144
72,immigrants in literature,literature,134
73,magic,fiction,3796
74,politics and government,politics,22029
75,cold war,politics,986
76,humorous stories,fiction,3503
77,jews,biography,3385
78,gardening,fiction,219
79,foreign relations,politics,4303
80,civilization,history,3307
81,cousins,fiction,533
82,mentally ill,psychology,296
83,historical geography,history,101
84,social science,science,4981
85,christian pilgrims and pilgrimages in literature,literature,54
86,human behavior,fiction,550
87,abbeys,fiction,245
88,social aspects,psychology,5131
89,british foreign public opinion,literature,142
90,alcoholics anonymous,psychology,23
91,industrial management,philosophy,213
92,intelligence service,fiction,411
93,church history,history,1766
94,women archaeologists,juvenile,55
95,nature conservation,philosophy,128
96,world politics,politics,1817
97,government relations,history,673
98,church and the world,politics,46
99,correspondence,biography,1927
100,criticism,literature,1301
101,ducks,fiction,255
102,government investigators,fiction,257
103,homosexuality in motion pictures,history,22
104,rich people,fiction,302
105,geese,fiction,94
106,adaptations,fiction,975
107,campaigns,biography,2078
108,study and teaching,psychology,2097
109,short stories,fiction,1993
110,christianity,history,3570
111,historical,fiction,1462
112,friendship,fiction,7474
113,horses,fiction,559
114,aging,psychology,505
115,military history,history,1254
116,aunts,fiction,306
117,race relations,history,3406
118,greek,history,57
119,stories without words,fiction,143
120,space warfare,fiction,153
121,african american philosophy,philosophy,34
122,american detective and mystery stories,mystery,401
123,soviet personal narratives,biography,42
124,secret societies,fiction,264
125,blacks,fiction,806
126,canada,biography,674
127,report writing,literature,147
128,classification,psychology,128
129,ya,young,99
130,physicians,biography,1012
131,bartenders,fiction,22
132,death and burial,biography,285
133,economics in literature,literature,92
134,children,fiction,3401
135,human rights,politics,1022
136,country music,history,41
137,description and travel,biography,2091
138,interviews,history,1474
139,young women,young,1362
140,secrets,fiction,1007
141,journeys,biography,249
142,criticism and interpretation,literature,5784
143,police,fiction,2009
144,insects,fiction,214
145,indians of central america,history,96
146,flight crews,biography,39
147,american science fiction,fiction,267
148,social psychology,psychology,1982
149,rabbinical literature,literature,417
150,women,history,7098
151,teenage girls,fiction,1395
152,bibliography,literature,2058
153,discourse analysis,politics,299
154,leprechauns,fiction,20
155,picture books,fiction,2367
156,medieval civilization,history,397
157,forensic sciences,science,95
158,military relations,politics,141
159,cats,fiction,1601
160,liberalism,politics,531
161,psychotherapy,psychology,1765
162,african american authors,literature,1288
163,psychoanalysis and religion,psychology,107
164,human ecology,philosophy,452
165,schools,fiction,5384
166,end of the world in literature,literature,33
167,biographies,biography,7650
168,outlaws,biography,212
169,emigration and immigration,history,1111
170,seduction,fiction,72
171,extraterrestrial beings,fiction,458
172,historiography,history,1821
173,sports medicine,science,45
174,mystery and detective stories,mystery,3342
175,mental illness,psychology,1276
176,urban poor,politics,53
177,interpersonal attraction,fiction,103
178,swimming,fiction,113
179,adolescent psychology,psychology,983
180,brothers,fiction,1090
181,counseling,psychology,628
182,child development,psychology,1498
183,fantasy fiction,fiction,3822
184,masculinity in literature,literature,309
185,evaluation,juvenile,339
186,euthanasia,philosophy,84
187,book reviews,history,69
188,graphic novels,fiction,1944
189,peace movements,history,115
190,women and literature,literature,3352
191,african american women singers,fiction,24
192,online social networks,psychology,102
193,first ladies,juvenile,36
194,space stations,fiction,25
195,assassins,fiction,305
196,judaism,history,1602
197,crime,fiction,1147
198,oncology,science,46
199,couples,fiction,111
200,discovery and exploration,juvenile,848
201,veterans,biography,666
202,devotional calendars,juvenile,37
203,health and hygiene,psychology,591
204,knowledge and learning,literature,644
205,mother and child,fiction,500
206,aggressiveness in children,psychology,44
207,feminist theory,philosophy,344
208,frontier and pioneer life,juvenile,1188
209,photography,history,453
210,archaeology and history,history,35
211,mental health,psychology,2364
212,collections,fiction,392
213,african american women,biography,949
214,christian,fiction,277
215,teenage boys,fiction,500
216,law,philosophy,1172
217,poets,fiction,241
218,contemporaries,history,158
219,greek mythology,fiction,347
220,youth,fiction,1279
221,fairy tales,fiction,1000
222,spanish fiction,fiction,139
223,horror stories,horror,1382
224,papacy,history,64
225,animals,fiction,4262
226,drug therapy,psychology,108
227,legislators,biography,966
228,rogues and vagabonds,history,33
229,space,psychology,62
230,dysfunctional families,fiction,485
231,homicide,fiction,1018
232,self in literature,literature,436
233,hermits,literature,40
234,government policy,politics,1322
235,helping behavior,fiction,252
236,english political poetry,poetry,86
237,internet in public administration,science,17
238,cognitive therapy,psychology,291
239,indians of north america,fiction,2123
240,french authors,biography,282
241,drama,history,2201
242,motherhood,psychology,196
243,colonies,history,793
244,abolitionists,biography,333
245,child rearing,psychology,413
246,employee motivation,psychology,41
247,peasants,history,156
248,zionism,history,224
249,children with disabilities,psychology,239
250,women politicians,biography,115
251,olympic games,fiction,22
252,imagination,fiction,964
253,modern art,philosophy,296
254,theater and society,history,149
255,new york times reviewed,biography,4442
256,pioneers,biography,501
257,books and reading,literature,2188
258,party work,politics,23
259,voyages and travels,fiction,987
260,american personal narratives,biography,1283
261,translating and interpreting,literature,412
262,german language,literature,249
263,sources,history,3059
264,administration of criminal justice,biography,226
265,kidnapping victims,fiction,138
266,short story,fiction,558
267,masculinity,psychology,399
268,family in literature,literature,168
269,museums,philosophy,295
270,inventors,juvenile,362
271,international relations,politics,2612
272,coping,psychology,24
273,epic,poetry,108
274,yeti,fiction,22
275,poetry,category,3312
276,romance literature,romance,240
277,bible,literature,2320
278,imaginary voyages,fiction,69
279,gifts,fiction,246
